id;name;city;begin;system;tours_count;min_rating;time_on_game
342136;Сент-Луис 1977;Кишинев;13.01;Olympic;11;2439;130
806695;Европа 1964;Камбадос;27.11;Olympic;7;2606;44
738883;Макартур 1970;Вроцлав;20.12;Olympic;7;2542;20
959522;Сент-Луис 2019;Осера;28.10;Swiss;13;2480;109
933798;Ставангер 2016;Сория;18.10;circular;15;2506;27
475173;Sinquefield Cup 2004;Кишинев;25.09;Olympic;9;2285;57
740955;Европа 1958;Ташкент;06.02;circular;6;2226;59
613625;Линарес 1960;Тбилиси;16.02;Swiss;15;2500;155
107810;Кубок мира 1975;Тбилиси;06.11;circular;8;2272;147
481189;Лондон 1956;Баку;28.12;Olympic;6;2481;138
911215;Вена 1973;Сьюдад-Реаль;09.04;Olympic;9;2524;43
280099;Пойковский 1960;Картахена;06.01;circular;13;2293;101
594731;Алушта 1972;Валенсия;25.09;circular;7;2263;62
122062;Алушта 1960;Пласенсия;23.04;Swiss;6;2633;151
473586;Шамкович 1951;Хихон;06.04;circular;6;2413;62
472977;Аэрофлот Опен 2011;Душанбе;05.05;Swiss;13;2397;103
889223;Алушта 1968;Сараево;03.09;circular;14;2366;71
225422;Европа 1969;Вроцлав;21.11;Olympic;11;2443;123
734666;Пальма 2021;Трухильо;02.03;Swiss;8;2368;169
275131;Биль 2015;Сеговия;18.03;Swiss;10;2247;90
182705;Сент-Луис 2012;Киев;21.08;Olympic;11;2344;49
715452;Цюрих 2008;Гранада;09.11;Olympic;9;2584;33
860700;Тилбург 1991;Самора;07.08;Swiss;6;2602;144
385064;Турнир претендентов 1972;Хихон;16.10;Olympic;15;2587;68
235231;Тилбург 2008;Любляна;15.01;Swiss;14;2531;122
